"","YEAR_","FIRE_NAME","ALARM_DATE","CONT_DATE","CAUSE","area_burned_km2","DATE","month"
"1016",1970,"BLACKWELL LAND CO.",19700602,0,14,1.87785940391,1970-06-01 17:00:00,"06"
"1017",1970,"OLD TEJON RANCH",19700626,0,14,2.90978322978,1970-06-25 17:00:00,"06"
"1018",1970,"POWER HOUSE",19700531,0,14,3.7156872087,1970-05-30 17:00:00,"05"
"1019",1970,"RIPLEY LEASE",19700601,0,14,5.54865610693,1970-05-31 17:00:00,"06"
"1020",1972,"BELTRAN",19720804,0,14,3.59486342832,1972-08-03 17:00:00,"08"
"1021",1958,"HUGHES MTN.",19580704,0,14,1.55860970118,1958-07-03 17:00:00,"07"
"1022",1958,"KREYENHAGEN #2",19580810,0,14,4.95009351674,1958-08-09 17:00:00,"08"
"1023",1958,"TYLER",19580811,0,14,1.28815107677,1958-08-10 17:00:00,"08"
"1024",2002,"PATTERSON",20020615,0,14,0.946591445838,2002-06-14 17:00:00,"06"
"1025",1967,"GOMAN",19670629,0,14,12.4631871163,1967-06-28 17:00:00,"06"
"1026",1967,"MONTEZUMA",19670629,0,14,3.16176981687,1967-06-28 17:00:00,"06"
"1027",1967,"SITE 300 #2",19670609,0,14,5.88446610002,1967-06-08 17:00:00,"06"
"1028",1967,"THOMAS",19670708,0,14,0.933901108552,1967-07-07 17:00:00,"07"
"1029",1967,"TISCORNIA #3",19670813,0,14,6.78700164259,1967-08-12 17:00:00,"08"
"1030",1967,"VASCO",19670722,0,14,5.66288672691,1967-07-21 17:00:00,"07"
"1031",1974,"GOLF RANCH",19740818,0,9,1.75759236056,1974-08-17 17:00:00,"08"
"1032",1974,"ADELAIDE",19740705,0,14,16.6253418343,1974-07-04 17:00:00,"07"
"1033",1974," ",19740000,0,9,0.249875145267,NA,"00"
"1034",1974," ",19740903,19740904,9,0.660393479937,1974-09-02 17:00:00,"09"
"1035",1974,"CANDLE",19740000,0,1,0.0563207110783,NA,"00"
"1036",1975,"CRABTREE",19750920,0,14,2.82771127362,1975-09-19 17:00:00,"09"
"1037",1936," ",19360000,0,14,5.45158998401,NA,"00"
"1038",1936," ",19360000,0,14,43.1943455569,NA,"00"
"1039",1937,"DOAK'S RIDGE FIRE",19370516,0,9,0.153607338716,1937-05-15 16:00:00,"05"
"1040",1938," ",19380000,0,1,0.0457574939323,NA,"00"
"1041",1938," ",19380000,0,9,0.0697175034848,NA,"00"
"1042",1938," ",19380000,0,1,0.0596723771171,NA,"00"
"1043",1939," ",19390000,0,1,0.0759733755765,NA,"00"
"1044",1939," ",19390000,0,1,0.15102484817,NA,"00"
"1045",1939," ",19390000,0,1,0.0333308146529,NA,"00"
"1046",1939," ",19390000,0,1,0.0465405773899,NA,"00"
"1047",1939," ",19390000,0,1,1.13789302186,NA,"00"
"1048",1939," ",19390000,0,1,0.0740207177261,NA,"00"
"1049",1939," ",19390000,0,1,0.0427245109025,NA,"00"
"1050",1970," ",19700926,0,14,2.03079548139,1970-09-25 17:00:00,"09"
"1051",1970,"BEAR MOUNTAIN #1",19700728,0,14,6.51422901993,1970-07-27 17:00:00,"07"
"1052",2001,"CLAY",20010731,0,7,2.12700244785,2001-07-30 17:00:00,"07"
"1053",1971," ",19710000,0,9,0.089840489694,NA,"00"
"1054",1971,"WIND",19711126,19711127,5,0.0389975194567,1971-11-25 16:00:00,"11"
"1055",1971,"LANDERS",19710410,19710410,4,0.317713534157,1971-04-09 16:00:00,"04"
"1056",1971,"UNKNOWN",19710916,0,14,1.53574028255,1971-09-15 17:00:00,"09"
"1057",2001,"MUSIC",20010817,20010821,12,0.850105594106,2001-08-16 17:00:00,"08"
"1058",1978," ",19780000,0,1,0.102241679043,NA,"00"
"1059",1978," ",19780000,0,1,0.0543575164682,NA,"00"
"1060",1956," ",19560000,0,1,0.0439898049233,NA,"00"
"1061",1956," ",19560000,0,9,0.0696896188707,NA,"00"
"1062",1956," ",19560000,0,1,0.0389512156823,NA,"00"
"1063",1956," ",19560000,0,9,0.675403673212,NA,"00"
"1064",1956,"CASACCIA #6",19560300,0,14,1.54076795415,NA,"03"
"1065",1961,"RANCHERIA",19610902,0,14,138.015714234,1961-09-01 17:00:00,"09"
"1066",1961,"S.P.R.R. #3",19610812,0,14,1.40229311795,1961-08-11 17:00:00,"08"
"1067",1966,"ORCHARD PEAK",19660520,0,14,62.6653236907,1966-05-19 17:00:00,"05"
"1068",1988," ",19880000,0,1,0.0420428407911,NA,"00"
"1069",1974,"SHELL OIL CO.",19740527,0,14,4.46572272372,1974-05-26 17:00:00,"05"
"1070",1999,"BLACK GULCH",19990331,0,14,14.2115081922,1999-03-30 16:00:00,"03"
"1071",1999,"CREEKSIDE",19990515,0,2,0.0668579792246,1999-05-14 17:00:00,"05"
"1072",1999,"RIPPLE",19990606,0,2,0.390674689895,1999-06-05 17:00:00,"06"
"1073",1999,"ENNIS",19990713,0,11,0.157845024144,1999-07-12 17:00:00,"07"
"1074",1999,"CLINGANS",19990628,0,7,0.169254299804,1999-06-27 17:00:00,"06"
"1075",1999,"FOREST",19990628,0,7,0.0416909144237,1999-06-27 17:00:00,"06"
"1076",1999,"LOCKWOOD",19990709,0,7,0.0989828690054,1999-07-08 17:00:00,"07"
"1077",1999,"WATTS",19990713,0,11,4.79590357028,1999-07-12 17:00:00,"07"
"1078",1999,"PANOCHE",19990422,0,7,4.42665435989,1999-04-21 17:00:00,"04"
"1079",1998,"ROBINSON",19980821,19980823,9,1.67059431243,1998-08-20 17:00:00,"08"
"1080",1998,"BARLOW",19980718,19980718,2,0.0292997331973,1998-07-17 17:00:00,"07"
"1081",1998,"OAK",19980710,19980710,9,0.461317437434,1998-07-09 17:00:00,"07"
"1082",2004,"BEN HUR",20040626,20040626,15,0.138165304904,2004-06-25 17:00:00,"06"
"1083",2004,"132",20040723,20040723,7,0.172968174393,2004-07-22 17:00:00,"07"
"1084",1987," ",19870000,0,1,0.224730407492,NA,"00"
"1085",1987," ",19870000,0,1,0.0402078470458,NA,"00"
"1086",1988,"GRADE",19880819,0,2,1.51916263417,1988-08-18 17:00:00,"08"
"1087",1988,"COOPER",19880801,0,14,7.48730171645,1988-07-31 17:00:00,"08"
"1088",1943," ",19430000,0,9,6.44333043531,NA,"00"
"1089",1943," ",19430000,0,14,1.44452191328,NA,"00"
"1090",1943," ",19430000,0,14,0.649630078836,NA,"00"
"1091",1972,"CRABTREE",19720609,0,14,3.73926294896,1972-06-08 17:00:00,"06"
"1092",1972,"MOCCASIN",19720706,0,14,1.72466472523,1972-07-05 17:00:00,"07"
"1093",1980," ",19800000,0,1,0.0563219254134,NA,"00"
"1094",1952," ",19520000,0,1,0.0634040469206,NA,"00"
"1095",1953,"BAXTER",19530622,0,14,9.78737824587,1953-06-21 17:00:00,"06"
"1096",1953,"BEAUREGARD",19531006,0,14,6.26586617514,1953-10-05 16:00:00,"10"
"1097",1953,"BULLIS",19530721,0,14,10.4849731471,1953-07-20 17:00:00,"07"
"1098",1955,"ONEIL CREEK",19550831,0,14,1.28630127137,1955-08-30 17:00:00,"08"
"1099",1960,"SAN BENITO MT.",19600806,0,14,1.36572323662,1960-08-05 17:00:00,"08"
"1100",1964," ",19640000,0,9,0.134718633017,NA,"00"
"1101",1964," ",19640000,0,9,0.304428572831,NA,"00"
"1102",1964," ",19640000,0,9,0.100129744132,NA,"00"
"1103",1964," ",19640000,0,9,0.0153133973145,NA,"00"
"1104",1964," ",19640000,0,9,4.79205756916,NA,"00"
"1105",1964," ",19640000,0,9,3.01048956381,NA,"00"
"1106",1979," ",19790000,0,1,0.922191327868,NA,"00"
"1107",1965,"P.G. & E. #3",19650917,0,14,6.35410419512,1965-09-16 17:00:00,"09"
"1108",1962,"BOWERS",19620827,0,14,31.3155104794,1962-08-26 17:00:00,"08"
"1109",1962,"FERGUSON",19620901,0,14,1.89848478822,1962-08-31 17:00:00,"09"
"1110",1961,"ROYAL",19610000,0,1,0.208655237677,NA,"00"
"1111",1961,"EAGLE",19610000,0,1,0.695410401397,NA,"00"
"1112",1984," ",19840707,19840707,7,2.34527129029,1984-07-06 17:00:00,"07"
"1113",1950,"CHASE RANCH",19500823,0,14,4.48256807088,1950-08-22 17:00:00,"08"
"1114",1950,"DOGTOWN #2",19500818,0,14,0.524415316503,1950-08-17 17:00:00,"08"
"1115",1950,"FRECERRO",19500827,0,14,6.68509992648,1950-08-26 17:00:00,"08"
"1116",1950,"JACKASS",19500831,0,14,2.87360266713,1950-08-30 17:00:00,"08"
"1117",1950,"JACKSONVILLE",19500904,0,14,22.1217209799,1950-09-03 17:00:00,"09"
