SAMPLE_DATE,PM25_CONCENTRATION,UNITS,STATE,COUNTY,MSA
01022006,12,ug/m3 LC,01,003,
01052006,9.8,ug/m3 LC,01,003,
01082006,9.4,ug/m3 LC,01,003,
01112006,7,ug/m3 LC,01,003,
01142006,4.8,ug/m3 LC,01,003,
01172006,5.1,ug/m3 LC,01,003,
01202006,8.9,ug/m3 LC,01,003,
01232006,4.1,ug/m3 LC,01,003,
01292006,4.7,ug/m3 LC,01,003,
02012006,6,ug/m3 LC,01,003,
02042006,2.8,ug/m3 LC,01,003,
02072006,6.2,ug/m3 LC,01,003,
02102006,12.5,ug/m3 LC,01,003,
02132006,8.3,ug/m3 LC,01,003,
02162006,7.8,ug/m3 LC,01,003,
02222006,9.9,ug/m3 LC,01,003,
03032006,19.8,ug/m3 LC,01,003,
03062006,25.1,ug/m3 LC,01,003,
03092006,12,ug/m3 LC,01,003,
03122006,7.1,ug/m3 LC,01,003,
03152006,7.1,ug/m3 LC,01,003,
03182006,22.7,ug/m3 LC,01,003,
03212006,6.6,ug/m3 LC,01,003,
03242006,7.4,ug/m3 LC,01,003,
03272006,15.5,ug/m3 LC,01,003,
03302006,10.5,ug/m3 LC,01,003,
04022006,8.6,ug/m3 LC,01,003,
04052006,14.5,ug/m3 LC,01,003,
04082006,11.7,ug/m3 LC,01,003,
04112006,9.4,ug/m3 LC,01,003,
04142006,9.1,ug/m3 LC,01,003,
04172006,11.3,ug/m3 LC,01,003,
04202006,7.2,ug/m3 LC,01,003,
04232006,12.1,ug/m3 LC,01,003,
04262006,5.8,ug/m3 LC,01,003,
04292006,15.2,ug/m3 LC,01,003,
05022006,10.9,ug/m3 LC,01,003,
05052006,11.4,ug/m3 LC,01,003,
05082006,14,ug/m3 LC,01,003,
05112006,4.6,ug/m3 LC,01,003,
05142006,10.3,ug/m3 LC,01,003,
05172006,8.8,ug/m3 LC,01,003,
05202006,10.5,ug/m3 LC,01,003,
05262006,7.6,ug/m3 LC,01,003,
06012006,25.6,ug/m3 LC,01,003,
06042006,16.3,ug/m3 LC,01,003,
06072006,17.2,ug/m3 LC,01,003,
06102006,18.7,ug/m3 LC,01,003,
06132006,28.1,ug/m3 LC,01,003,
06162006,17,ug/m3 LC,01,003,
06192006,12.3,ug/m3 LC,01,003,
06222006,12.7,ug/m3 LC,01,003,
06252006,12.9,ug/m3 LC,01,003,
06282006,20,ug/m3 LC,01,003,
07012006,25.7,ug/m3 LC,01,003,
07042006,10,ug/m3 LC,01,003,
07072006,6.4,ug/m3 LC,01,003,
07102006,15.8,ug/m3 LC,01,003,
07132006,6.3,ug/m3 LC,01,003,
07162006,7.6,ug/m3 LC,01,003,
07192006,11.4,ug/m3 LC,01,003,
