FID_,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Leng,Shape_Area
,1956,CA,TCU,49,SHEEPRANCH,CDF,19560810,0,0,14,0,1, ,0,578.7210083,8312.766481,2342001.339
,1956,CA,TUU,35,GILL #3,CDF,19560727,0,0,14,0,1, ,0,312.9710083,4741.300326,1266547.685
,1958,CA,AEU,49,ARROYO SECO NO. 6,CDF,19580729,0,0,14,0,1, ,0,435.881012,7567.746668,1763948.678
,1959,CA,SCU,5,MARCIEL,CDF,19590621,0,0,14,0,1, ,0,1295.959961,11698.9925,5244570.907
,1959,CA,MMU,42,NEW YEARS MINE,CDF,19590910,0,0,14,0,1, ,0,463.276001,5565.662145,1874812.48
,1959,CA,TCU,67,PARROTTS FERRY #2,CDF,19590716,0,0,14,0,1, ,0,313.4949951,5078.143535,1268668.495
,1959,CA,FKU,32,WARD SENECA,CDF,19590610,0,0,14,0,1, ,0,389.4559937,5961.157709,1576071.945
,1959,CA,ENF,0, ,USF,19590000,0,0,14,0,1, ,0,1377.51001,9880.090938,5574583.688
,1959,CA,SQF,1, ,USF,19590000,0,0,9,0,1, ,0,50.0746994,1815.052307,202645.1023
,1966,CA,KRN,197,BRECKENRIDGE,CCO,19660615,0,0,1,0,1, ,0,5322.439941,25226.8347,21539139.56
,1966,CA,SQF,1, ,USF,19660000,0,0,9,0,1, ,0,27.8768997,2068.42906,112813.7868
,1966,CA,SQF,19, ,USF,19660000,0,0,9,0,1, ,0,19.8099995,1118.194593,80168.08759
,1966,CA,SQF,2, ,USF,19660000,0,0,9,0,1, ,0,11.7995005,832.9269241,47750.74354
,1966,CA,SQF,55, ,USF,19660000,0,0,9,0,1, ,0,13.0163002,1091.454318,52675.03478
,1966,CA,SQF,73, ,USF,19660000,0,0,1,0,1, ,0,66.3544998,2122.905829,268527.2115
,1966,CA,SQF,107, ,USF,19660000,0,0,9,0,1, ,0,150.2579956,4200.397872,608072.7181
,1966,CA,SQF,106, ,USF,19660000,0,0,9,0,1, ,0,540.9119873,14122.19228,2188993.314
,1966,CA,SQF,94, ,USF,19660000,0,0,9,0,1, ,0,208.7539978,4512.606841,844797.5278
,1974,CA,KRN,526,KREMSER,CCO,19740807,0,0,14,2502,1, ,0,526.3040161,6372.037985,2129877.734
,1974,CA,KRN,10,PIONEER,CCO,19740713,0,0,14,0,1, ,0,933.2769775,7004.0739,3776839.015
,1999,CA,FKU,135,DUNLAP,CDF,19990712,0,0,7,7018,1, ,0,14.1631002,1010.68156,57315.97277
,1999,CA,FKU,173,MILLERTON,CDF,19990826,0,0,1,8803,1, ,0,61.4584007,2546.534741,248713.4167
,1999,CA,FKU,161,33,CDF,19990813,0,0,2,8236,1, ,0,243.6199951,4313.979282,985896.447
,1917,CA,LPF,999, ,USF,19170000,0,0,14,0,1, ,0,683.4609985,6788.187265,2765869.421
,1995,CA,SQF,71, ,USF,19950907,0,0,9,0,1, ,0,34.1638985,1977.840721,138256.3603
,1995,CA,SQF,71, ,USF,19950907,0,0,9,0,1, ,0,6.7492499,718.087291,27313.2541
,1972,CA,SNF,4,LOOKOUT POINT,USF,19720426,19720516,8,9,0,1, ,160,129.9199982,3447.94649,525768.1767
,1972,CA,SNF,178,COLD SPRINGS,USF,19720908,19720908,8,8,0,1, ,30,29.1063004,1933.464346,117788.9649
,1989,CA,FKU,82,CAL OIL,CDF,19890603,0,0,9,4362,1, ,0,492.4400024,6458.599012,1992831.962
,1996,CA,KRN,0,OIL,CCO,19960617,0,0,7,0,1, ,0,1895.969971,11109.4973,7672702.495
,1959,CA,SQF,38, ,USF,19590000,0,0,1,0,1, ,0,9433.219727,31747.29399,38174870.53
,1959,CA,MMU,0,NELSON COVE FIRE,CDF,19590700,0,0,2,0,1, ,0,11076.2998,39481.83162,44824228.93
,1960,CA,TCU,34,CROOK,CDF,19600612,0,0,0,0,1, ,0,639.0209961,7097.289963,2586024.556
,1960,CA,TCU,86,MEYER,CDF,19600820,0,0,14,0,1, ,0,3801.040039,17846.24834,15382245.6
,1960,CA,YNP,61,HALF DOME,NPS,19600000,0,0,9,0,1, ,0,21.2784996,1535.820477,86110.8845
,1960,CA,YNP,70,MT. GIBSON,NPS,19600000,0,0,1,0,1, ,0,1470.959961,10398.96722,5952762.418
,1960,CA,YNP,2, ,NPS,19600000,0,0,1,0,1, ,0,19.4171009,1513.741351,78578.41609
,1960,CA,YNP,84,QUARTZ,NPS,19600000,0,0,1,0,1, ,0,51.3577995,1900.951174,207837.4563
,1964,CA,MMU,0000013A,MERCED COUNTY #7,CDF,19640810,0,0,14,0,1, ,0,451.9859924,5877.386448,1829122.182
,1964,CA,TCU,133,MEXICAN GULCH #2,CDF,19640823,0,0,14,0,1, ,0,392.0339966,5565.893077,1586504.284
,1969,CA,SQF,86, ,USF,19690000,0,0,1,0,1, ,0,576.5209961,7149.15873,2333095.615
,1969,CA,SQF,57, ,USF,19690000,0,0,9,0,1, ,0,1165.310059,16575.77112,4715855.432
,1969,CA,SQF,108, ,USF,19690000,0,0,1,0,1, ,0,8.3752098,765.472843,33893.28163
,1980,CA,SCU,275,DEL PUERTO CANYON,CDF,19800730,0,0,14,1258,1, ,0,1830.130005,14512.05146,7406282.333
,1980,CA,TCU,468,HIGHWAY 88 SERIES,CDF,19801005,0,0,14,2048,1, ,0,621.434021,7798.79175,2514854.917
,1980,CA,TCU,469,HIGHWAY 88 SERIES,CDF,19801005,0,0,14,2048,1, ,0,458.1619873,5780.925128,1854115.874
,1980,CA,TCU,146,KEILBAR,CDF,19800517,0,0,14,322,1, ,0,168.1869965,4565.171277,680629.2325
,1980,CA,TCU,285,LOS CERRITOS,CDF,19800628,0,0,14,576,1, ,0,322.6170044,5619.993092,1305585.677
,1980,CA,SCU,376,MULQUENNY-P.G.&E.,CDF,19800913,0,0,14,1674,1, ,0,636.6409912,12663.65746,2576393.731
